SEQUENCE_ID,TYPE,DOMAINS,TP,FP,FN,Sens,PPV,Jaccard
E001_001,E,1,1,1,0,1.0,0.5,0.5
E001_002,E,1,1,0,0,1.0,1.0,1.0
E001_003,E,1,0,5,1,0.0,0.0,0.0
E001_004,E,1,1,0,0,1.0,1.0,1.0
E001_005,E,1,1,1,0,1.0,0.5,0.5
E001_006,E,1,1,0,0,1.0,1.0,1.0
E001_007,E,1,1,0,0,1.0,1.0,1.0
E001_008,E,1,1,1,0,1.0,0.5,0.5
E001_009,E,1,0,2,1,0.0,0.0,0.0
E001_010,E,1,0,3,1,0.0,0.0,0.0
E001_011,E,1,0,4,1,0.0,0.0,0.0
E001_012,E,1,0,10,1,0.0,0.0,0.0
E001_013,E,1,0,6,1,0.0,0.0,0.0
E001_014,E,1,1,1,0,1.0,0.5,0.5
E001_015,E,1,1,3,0,1.0,0.25,0.25
E001_016,E,1,1,0,0,1.0,1.0,1.0
E001_017,E,1,1,3,0,1.0,0.25,0.25
E001_018,E,1,0,3,1,0.0,0.0,0.0
E001_019,E,1,0,3,1,0.0,0.0,0.0
E001_020,E,1,0,6,1,0.0,0.0,0.0
E001_021,E,1,1,0,0,1.0,1.0,1.0
E001_022,E,1,0,5,1,0.0,0.0,0.0
E001_023,E,1,0,3,1,0.0,0.0,0.0
E001_024,E,1,0,11,1,0.0,0.0,0.0
E001_025,E,1,0,3,1,0.0,0.0,0.0
E001_026,E,1,0,6,1,0.0,0.0,0.0
E001_027,E,1,0,2,1,0.0,0.0,0.0
E001_028,E,1,0,9,1,0.0,0.0,0.0
E001_029,E,1,0,9,1,0.0,0.0,0.0
E001_030,E,1,1,0,0,1.0,1.0,1.0
E001_031,E,1,0,9,1,0.0,0.0,0.0
E001_032,E,1,0,4,1,0.0,0.0,0.0
E001_033,E,1,1,3,0,1.0,0.25,0.25
E001_034,E,1,1,2,0,1.0,0.33333,0.33333
E001_035,E,1,1,0,0,1.0,1.0,1.0
E001_036,E,1,1,1,0,1.0,0.5,0.5
E001_037,E,1,1,0,0,1.0,1.0,1.0
E001_038,E,1,0,4,1,0.0,0.0,0.0
E001_039,E,1,1,0,0,1.0,1.0,1.0
E001_040,E,1,0,5,1,0.0,0.0,0.0
E001_041,E,1,0,7,1,0.0,0.0,0.0
E001_042,E,1,0,3,1,0.0,0.0,0.0
E001_043,E,1,0,2,1,0.0,0.0,0.0
E001_044,E,1,0,5,1,0.0,0.0,0.0
E001_045,E,1,1,0,0,1.0,1.0,1.0
E001_046,E,1,1,3,0,1.0,0.25,0.25
E001_047,E,1,0,4,1,0.0,0.0,0.0
E001_048,E,1,1,0,0,1.0,1.0,1.0
E001_049,E,1,1,0,0,1.0,1.0,1.0
E001_050,E,1,1,0,0,1.0,1.0,1.0
E001_051,E,1,0,3,1,0.0,0.0,0.0
E001_052,E,1,0,2,1,0.0,0.0,0.0
E001_053,E,1,1,1,0,1.0,0.5,0.5
E001_054,E,1,0,3,1,0.0,0.0,0.0
E001_055,E,1,1,0,0,1.0,1.0,1.0
E001_056,E,1,0,9,1,0.0,0.0,0.0
E001_057,E,1,0,3,1,0.0,0.0,0.0
E001_058,E,1,0,6,1,0.0,0.0,0.0
E001_059,E,1,1,0,0,1.0,1.0,1.0
E001_060,E,1,1,0,0,1.0,1.0,1.0
E001_061,E,1,1,1,0,1.0,0.5,0.5
E001_062,E,1,1,3,0,1.0,0.25,0.25
E001_063,E,1,0,3,1,0.0,0.0,0.0
E001_064,E,1,1,2,0,1.0,0.33333,0.33333
E001_065,E,1,1,0,0,1.0,1.0,1.0
E001_066,E,1,1,1,0,1.0,0.5,0.5
E001_067,E,1,0,6,1,0.0,0.0,0.0
E001_068,E,1,0,2,1,0.0,0.0,0.0
E001_069,E,1,1,3,0,1.0,0.25,0.25
E001_070,E,1,0,3,1,0.0,0.0,0.0
E001_071,E,1,1,0,0,1.0,1.0,1.0
E001_072,E,1,0,4,1,0.0,0.0,0.0
E001_073,E,1,1,0,0,1.0,1.0,1.0
E001_074,E,1,1,0,0,1.0,1.0,1.0
E001_075,E,1,1,1,0,1.0,0.5,0.5
E001_076,E,1,1,0,0,1.0,1.0,1.0
E001_077,E,1,0,9,1,0.0,0.0,0.0
E001_078,E,1,0,3,1,0.0,0.0,0.0
E001_079,E,1,1,0,0,1.0,1.0,1.0
E001_080,E,1,1,0,0,1.0,1.0,1.0
E001_081,E,1,0,3,1,0.0,0.0,0.0
E001_082,E,1,1,1,0,1.0,0.5,0.5
E001_083,E,1,1,2,0,1.0,0.33333,0.33333
E001_084,E,1,1,0,0,1.0,1.0,1.0
E001_085,E,1,1,0,0,1.0,1.0,1.0
E001_086,E,1,1,2,0,1.0,0.33333,0.33333
E001_087,E,1,1,0,0,1.0,1.0,1.0
E001_088,E,1,1,0,0,1.0,1.0,1.0
E001_089,E,1,1,3,0,1.0,0.25,0.25
E001_090,E,1,1,1,0,1.0,0.5,0.5
E001_091,E,1,0,4,1,0.0,0.0,0.0
